Main,Sub1,number of tools 1,Sub2,number of tools 2
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/base-calling-category,40
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/duplicate-reads-removal-category,40
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/adapter-trimming-category,122
/epigenomics-category,/3c-4c-5c-hi-c-chia-pet-category,610,/quality-control6-category,143
/epigenomics-category,/3c-analysis-category,6,/data-analysis-7-category,6
/epigenomics-category,/4c-analysis-category,9,/data-analysis-8-category,9
/epigenomics-category,/5c-analysis-category,6,/data-analysis-9-category,6
/genomics2-category,/acgh-and-snp-microarray-category,309,/cnv-prioritization-category,1
/genomics2-category,/acgh-and-snp-microarray-category,309,/data-import-category,1
/genomics2-category,/acgh-and-snp-microarray-category,309,/noise-reduction-category,3
/genomics2-category,/acgh-and-snp-microarray-category,309,/microarray-interconversion-category,5
/genomics2-category,/acgh-and-snp-microarray-category,309,/lims-1-category,8
/genomics2-category,/acgh-and-snp-microarray-category,309,/interpretation8-category,9
/genomics2-category,/acgh-and-snp-microarray-category,309,/normalization-category,14
/genomics2-category,/acgh-and-snp-microarray-category,309,/data-visualization6-category,15
/genomics2-category,/acgh-and-snp-microarray-category,309,/image-analysis-category,22
/genomics2-category,/acgh-and-snp-microarray-category,309,/segmentation-category,22
/genomics2-category,/acgh-and-snp-microarray-category,309,/all-in-one-tools2-category,23
/genomics2-category,/acgh-and-snp-microarray-category,309,/unclassified-tools12-category,24
/genomics2-category,/acgh-and-snp-microarray-category,309,/somatic-cna-detection2-category,30
/genomics2-category,/acgh-and-snp-microarray-category,309,/copy-number-and-gene-expression-data-integration-category,34
/genomics2-category,/acgh-and-snp-microarray-category,309,/oligonucleotide-design-category,39
/genomics2-category,/acgh-and-snp-microarray-category,309,/cnv-detection-category,59
/genomics2-category,/amplicon-sequencing-category,1679,/internal-tandem-duplication-detection-1-category,1
/genomics2-category,/amplicon-sequencing-category,1679,/ultraconserved-element-detection-category,1
/genomics2-category,/amplicon-sequencing-category,1679,/experimental-design-2-category,2
/genomics2-category,/amplicon-sequencing-category,1679,/workflows-pipelines-4-category,2
/genomics2-category,/amplicon-sequencing-category,1679,/barcode-removal-category,4
/genomics2-category,/amplicon-sequencing-category,1679,/primer-removal-category,4
/genomics2-category,/amplicon-sequencing-category,1679,/unclassified-tools-11-category,9
/genomics2-category,/amplicon-sequencing-category,1679,/low-frequency-snv-detection-category,11
/genomics2-category,/amplicon-sequencing-category,1679,/denoising-category,19
/genomics2-category,/amplicon-sequencing-category,1679,/cnv-detection-1-category,22
/genomics2-category,/amplicon-sequencing-category,1679,/de-novo-mutation-detection-category,28
/genomics2-category,/amplicon-sequencing-category,1679,/demultiplexing-category,31
/genomics2-category,/amplicon-sequencing-category,1679,/read-clustering-category,32
/genomics2-category,/amplicon-sequencing-category,1679,/alignment-evaluation-category,37
/genomics2-category,/amplicon-sequencing-category,1679,/oligonucleotide-design-category,39
/genomics2-category,/amplicon-sequencing-category,1679,/file-merging-category,40
/genomics2-category,/amplicon-sequencing-category,1679,/file-filtering-category,65
/genomics2-category,/amplicon-sequencing-category,1679,/pairwise-sequence-alignment-category,67
/genomics2-category,/amplicon-sequencing-category,1679,/similarity-search-category,101
/genomics2-category,/amplicon-sequencing-category,1679,/indel-detection-category,114
/genomics2-category,/amplicon-sequencing-category,1679,/adapter-trimming-category,122
/genomics2-category,/amplicon-sequencing-category,1679,/somatic-snp-detection-category,133
/genomics2-category,/amplicon-sequencing-category,1679,/error-correction-category,137
/genomics2-category,/amplicon-sequencing-category,1679,/germline-snp-detection-category,163
/genomics2-category,/amplicon-sequencing-category,1679,/genome-assembly-category,184
/genomics2-category,/amplicon-sequencing-category,1679,/read-alignment-category,311
/proteomics-category,/antibody-microarray-category,4,/data-analysis-47-category,4
/epigenomics-category,/atac-seq-analysis-category,21,/quality-control-10-category,1
/epigenomics-category,/atac-seq-analysis-category,21,/nucleosome-positionning-analysis-category,2
/epigenomics-category,/atac-seq-analysis-category,21,/bioinformatic-workflows-category,3
/epigenomics-category,/atac-seq-analysis-category,21,/unclassified-tools-27-category,3
/epigenomics-category,/atac-seq-analysis-category,21,/chromatin-accessibility-and-tf-activity-category,6
/epigenomics-category,/atac-seq-analysis-category,21,/single-cell-atac-seq-analysis-category,6
/genomics2-category,/binning-16s-datasets-category,179,/experimental-design4-category,3
/genomics2-category,/binning-16s-datasets-category,179,/probe-design-category,3
/genomics2-category,/binning-16s-datasets-category,179,/unclassified-tools-25-category,3
/genomics2-category,/binning-16s-datasets-category,179,/data-visualization-4-category,4
/genomics2-category,/binning-16s-datasets-category,179,/chimera-detection-category,8
/genomics2-category,/binning-16s-datasets-category,179,/functional-profiles-category,9
/genomics2-category,/binning-16s-datasets-category,179,/correlation-inference-category,16
/genomics2-category,/binning-16s-datasets-category,179,/denoising-category,19
/genomics2-category,/binning-16s-datasets-category,179,/taxonomy-dependent-category,41
/genomics2-category,/binning-16s-datasets-category,179,/taxonomy-independent-category,73
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-mapping-2-category,2
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-classification-7-category,3
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/unclassified-tools-36-category,4
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/quality-control-3-category,6
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-format-management-2-category,8
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-surfacing-category,13
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-modelization-1-category,14
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/3d-image-reconstruction-4-category,15
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-enhancement-11-category,19
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/dicom-files-management-category,25
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/morphometric-analysis-3-category,31
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/3d-image-analysis-2-category,37
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-registration-1-category,44
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-segmentation-2-category,52
/phenomics-category,/biomedical-magnetic-resonance-imaging-category,325,/image-visualization-1-category,52
/phenomics-category,/bright-field-microscopy-category,206,/image-simulation-9-category,1
/phenomics-category,/bright-field-microscopy-category,206,/structure-orientation-4-category,1
/phenomics-category,/bright-field-microscopy-category,206,/biological-network-reconstruction-1-category,2
/phenomics-category,/bright-field-microscopy-category,206,/subcellular-protein-distribution-category,2
/phenomics-category,/bright-field-microscopy-category,206,/data-management-and-annotation-6-category,3
/phenomics-category,/bright-field-microscopy-category,206,/neuron-tracing-6-category,3
/phenomics-category,/bright-field-microscopy-category,206,/scratch-assay-1-category,3
/phenomics-category,/bright-field-microscopy-category,206,/image-deconvolution-4-category,5
/phenomics-category,/bright-field-microscopy-category,206,/cell-lineage-tracing-2-category,6
/phenomics-category,/bright-field-microscopy-category,206,/image-acquisition-1-category,6
/phenomics-category,/bright-field-microscopy-category,206,/2d-image-reconstruction-3-category,7
/phenomics-category,/bright-field-microscopy-category,206,/color-processing-category,7
/phenomics-category,/bright-field-microscopy-category,206,/high-throughput-screening-2-category,7
/phenomics-category,/bright-field-microscopy-category,206,/image-classification-8-category,9
/phenomics-category,/bright-field-microscopy-category,206,/image-registration-7-category,9
/phenomics-category,/bright-field-microscopy-category,206,/cell-counting-3-category,14
/phenomics-category,/bright-field-microscopy-category,206,/image-enhancement-4-category,15
/phenomics-category,/bright-field-microscopy-category,206,/cell-tracking-3-category,16
/phenomics-category,/bright-field-microscopy-category,206,/2d-gel-image-analysis-category,20
/phenomics-category,/bright-field-microscopy-category,206,/image-segmentation-8-category,31
/phenomics-category,/bright-field-microscopy-category,206,/morphometric-analysis-2-category,39
/epigenomics-category,/bs-seq-category,1261,/transcription-factor-binding-category,1
/epigenomics-category,/bs-seq-category,1261,/bisulfite-conversion-rate-estimation-category,2
/epigenomics-category,/bs-seq-category,1261,/tumor-purity-category,2
/epigenomics-category,/bs-seq-category,1261,/allele-specific-dna-methylation-category,4
/epigenomics-category,/bs-seq-category,1261,/data-integration-2-category,4
/epigenomics-category,/bs-seq-category,1261,/quantitative-score-assessment-category,4
/epigenomics-category,/bs-seq-category,1261,/snp-detection-category,7
/epigenomics-category,/bs-seq-category,1261,/data-simulation-category,8
/epigenomics-category,/bs-seq-category,1261,/other-tools-6-category,8
/epigenomics-category,/bs-seq-category,1261,/variant-aggregation-summarization-category,8
/epigenomics-category,/bs-seq-category,1261,/file-intersection-category,9
/epigenomics-category,/bs-seq-category,1261,/file-editing-category,10
/epigenomics-category,/bs-seq-category,1261,/bisulfite-primer-design-category,11
/epigenomics-category,/bs-seq-category,1261,/quality-control3-category,14
/epigenomics-category,/bs-seq-category,1261,/file-splitting-category,15
/epigenomics-category,/bs-seq-category,1261,/file-sampling-category,18
/epigenomics-category,/bs-seq-category,1261,/methylation-annotation-category,20
/epigenomics-category,/bs-seq-category,1261,/ewas-category,21
/epigenomics-category,/bs-seq-category,1261,/file-comparison-category,24
/epigenomics-category,/bs-seq-category,1261,/file-sorting-category,25
/epigenomics-category,/bs-seq-category,1261,/workflows-pipelines-category,25
/epigenomics-category,/bs-seq-category,1261,/data-visualization-category,28
/epigenomics-category,/bs-seq-category,1261,/fm-index-construction-category,37
/epigenomics-category,/bs-seq-category,1261,/base-calling-category,40
/epigenomics-category,/bs-seq-category,1261,/file-merging-category,40
/epigenomics-category,/bs-seq-category,1261,/methylation-scoring-category,46
/epigenomics-category,/bs-seq-category,1261,/read-alignment2-category,46
/epigenomics-category,/bs-seq-category,1261,/differentially-methylated-regions-category,47
/epigenomics-category,/bs-seq-category,1261,/file-parsing-category,55
/epigenomics-category,/bs-seq-category,1261,/file-filtering-category,65
/epigenomics-category,/bs-seq-category,1261,/data-compression-category,97
/epigenomics-category,/bs-seq-category,1261,/similarity-search-category,101
/epigenomics-category,/bs-seq-category,1261,/adapter-trimming-category,122
/epigenomics-category,/bs-seq-category,1261,/quality-control6-category,143
/epigenomics-category,/bs-seq-category,1261,/file-format-conversion-category,154
/transcriptomics-category,/cage-category,1766,/tss-analysis-category,0
/transcriptomics-category,/cage-category,1766,/tag-normalization-category,1
/transcriptomics-category,/cage-category,1766,/tag-count-category,2
/transcriptomics-category,/cage-category,1766,/tss-visualization-category,2
/transcriptomics-category,/cage-category,1766,/unclassified-tools-31-category,2
/transcriptomics-category,/cage-category,1766,/workflows-pipelines-3-category,2
/transcriptomics-category,/cage-category,1766,/clustering-2-category,4
/transcriptomics-category,/cage-category,1766,/tss-detection-category,6
/transcriptomics-category,/cage-category,1766,/file-intersection-category,9
/transcriptomics-category,/cage-category,1766,/differential-co-expression-category,20
/transcriptomics-category,/cage-category,1766,/transcriptomic-and-epigenomic-data-integration-category,21
/transcriptomics-category,/cage-category,1766,/mirna-regulatory-modules-inference-category,30
/transcriptomics-category,/cage-category,1766,/base-calling-category,40
/transcriptomics-category,/cage-category,1766,/motif-discovery-category,81
/transcriptomics-category,/cage-category,1766,/gene-co-expression-prediction-category,84
/transcriptomics-category,/cage-category,1766,/adapter-trimming-category,122
/transcriptomics-category,/cage-category,1766,/error-correction-category,137
/transcriptomics-category,/cage-category,1766,/quality-control6-category,143
/transcriptomics-category,/cage-category,1766,/file-format-conversion-category,154
/transcriptomics-category,/cage-category,1766,/normalization-differential-expression-category,235
/transcriptomics-category,/cage-category,1766,/read-alignment-category,311
/transcriptomics-category,/cage-category,1766,/gene-regulatory-networks-category,360
/transcriptomics-category,/capillary-electrophoresis-analysis-category,4,/data-analysis-23-category,4
/metabolomics-category,/chemoinformatics-databases-category,443,/chemical-transporter-interaction-data-category,2
/metabolomics-category,/chemoinformatics-databases-category,443,/mirna-pharmacogenomics-category,2
/metabolomics-category,/chemoinformatics-databases-category,443,/drug-metabolism-data-category,3
/metabolomics-category,/chemoinformatics-databases-category,443,/rna-ligand-interactions-data-category,3
/metabolomics-category,/chemoinformatics-databases-category,443,/drug-ontologies-category,7
/metabolomics-category,/chemoinformatics-databases-category,443,/toxicogenomics-data-category,7
/metabolomics-category,/chemoinformatics-databases-category,443,/adme-data-category,8
/metabolomics-category,/chemoinformatics-databases-category,443,/clinical-trial-data-1-category,8
/metabolomics-category,/chemoinformatics-databases-category,443,/drug-pathways-category,9
/metabolomics-category,/chemoinformatics-databases-category,443,/drug-sensitivity-data-category,9
/metabolomics-category,/chemoinformatics-databases-category,443,/secondary-metabolite-biosynthetic-pathways-databases-category,9
/metabolomics-category,/chemoinformatics-databases-category,443,/drug-drug-interaction-data-category,10
/metabolomics-category,/chemoinformatics-databases-category,443,/drug-repositioning-databases-category,12
/metabolomics-category,/chemoinformatics-databases-category,443,/adverse-drug-reactions-data-category,21
/metabolomics-category,/chemoinformatics-databases-category,443,/unclassified-data-9-category,22
/metabolomics-category,/chemoinformatics-databases-category,443,/pharmacogenetics-data-category,25
/metabolomics-category,/chemoinformatics-databases-category,443,/bioactivity-data-category,31
/metabolomics-category,/chemoinformatics-databases-category,443,/drug-resistance-data-category,36
/metabolomics-category,/chemoinformatics-databases-category,443,/chemical-toxicity-data-category,41
/metabolomics-category,/chemoinformatics-databases-category,443,/natural-products-category,68
/metabolomics-category,/chemoinformatics-databases-category,443,/small-molecules-category,110
/epigenomics-category,/chia-pet-sequencing-analysis-category,19,/data-analysis-6-category,19
/epigenomics-category,/chip-exo-category,10,/data-analysis-38-category,10
/genomics2-category,/chip-on-chip-category,43,/data-analysis-45-category,43
/epigenomics-category,/chip-on-chip-category,43,/data-analysis-45-category,43
/genomics2-category,/chip-seq-category,3093,/tumor-heterogeneity-category,0
/epigenomics-category,/chip-seq-category,3093,/tumor-heterogeneity-category,0
/genomics2-category,/chip-seq-category,3093,/de-novo-chip-seq-category,1
/epigenomics-category,/chip-seq-category,3093,/de-novo-chip-seq-category,1
/genomics2-category,/chip-seq-category,3093,/data-simulation2-category,2
/epigenomics-category,/chip-seq-category,3093,/data-simulation2-category,2
/genomics2-category,/chip-seq-category,3093,/experimental-design-category,2
/epigenomics-category,/chip-seq-category,3093,/experimental-design-category,2
/genomics2-category,/chip-seq-category,3093,/allele-specific-binding-category,6
/epigenomics-category,/chip-seq-category,3093,/allele-specific-binding-category,6
/genomics2-category,/chip-seq-category,3093,/genomic-signal-distribution-category,6
/epigenomics-category,/chip-seq-category,3093,/genomic-signal-distribution-category,6
/genomics2-category,/chip-seq-category,3093,/variant-aggregation-summarization-category,8
/epigenomics-category,/chip-seq-category,3093,/variant-aggregation-summarization-category,8
/genomics2-category,/chip-seq-category,3093,/file-intersection-category,9
/epigenomics-category,/chip-seq-category,3093,/file-intersection-category,9
/genomics2-category,/chip-seq-category,3093,/peak-clustering-category,9
/epigenomics-category,/chip-seq-category,3093,/peak-clustering-category,9
/genomics2-category,/chip-seq-category,3093,/file-editing-category,10
/epigenomics-category,/chip-seq-category,3093,/file-editing-category,10
/genomics2-category,/chip-seq-category,3093,/tag-density-plot-category,11
/epigenomics-category,/chip-seq-category,3093,/tag-density-plot-category,11
/genomics2-category,/chip-seq-category,3093,/chromatin-segmentation-category,12
/epigenomics-category,/chip-seq-category,3093,/chromatin-segmentation-category,12
/genomics2-category,/chip-seq-category,3093,/histone-modifications-category,12
/epigenomics-category,/chip-seq-category,3093,/histone-modifications-category,12
/genomics2-category,/chip-seq-category,3093,/file-splitting-category,15
/epigenomics-category,/chip-seq-category,3093,/file-splitting-category,15
/genomics2-category,/chip-seq-category,3093,/unclassified-tools3-category,15
/epigenomics-category,/chip-seq-category,3093,/unclassified-tools3-category,15
/genomics2-category,/chip-seq-category,3093,/differential-motif-enrichment-analysis-category,16
/epigenomics-category,/chip-seq-category,3093,/differential-motif-enrichment-analysis-category,16
/genomics2-category,/chip-seq-category,3093,/chromatin-state-detection-category,17
/epigenomics-category,/chip-seq-category,3093,/chromatin-state-detection-category,17
/genomics2-category,/chip-seq-category,3093,/file-sampling-category,18
/epigenomics-category,/chip-seq-category,3093,/file-sampling-category,18
/genomics2-category,/chip-seq-category,3093,/background-correction-category,20
/epigenomics-category,/chip-seq-category,3093,/background-correction-category,20
/genomics2-category,/chip-seq-category,3093,/quality-control4-category,20
/epigenomics-category,/chip-seq-category,3093,/quality-control4-category,20
/genomics2-category,/chip-seq-category,3093,/transcriptomic-and-epigenomic-data-integration-category,21
/epigenomics-category,/chip-seq-category,3093,/transcriptomic-and-epigenomic-data-integration-category,21
/genomics2-category,/chip-seq-category,3093,/motif-comparison-category,22
/epigenomics-category,/chip-seq-category,3093,/motif-comparison-category,22
/genomics2-category,/chip-seq-category,3093,/motif-enrichment-category,23
/epigenomics-category,/chip-seq-category,3093,/motif-enrichment-category,23
/genomics2-category,/chip-seq-category,3093,/target-gene-detection-category,23
/epigenomics-category,/chip-seq-category,3093,/target-gene-detection-category,23
/genomics2-category,/chip-seq-category,3093,/file-comparison-category,24
/epigenomics-category,/chip-seq-category,3093,/file-comparison-category,24
/genomics2-category,/chip-seq-category,3093,/depth-of-coverage-category,25
/epigenomics-category,/chip-seq-category,3093,/depth-of-coverage-category,25
/genomics2-category,/chip-seq-category,3093,/file-sorting-category,25
/epigenomics-category,/chip-seq-category,3093,/file-sorting-category,25
/genomics2-category,/chip-seq-category,3093,/normalization4-category,25
/epigenomics-category,/chip-seq-category,3093,/normalization4-category,25
/genomics2-category,/chip-seq-category,3093,/nucleosome-positioning-category,25
/epigenomics-category,/chip-seq-category,3093,/nucleosome-positioning-category,25
/genomics2-category,/chip-seq-category,3093,/differential-peak-calling-category,26
/epigenomics-category,/chip-seq-category,3093,/differential-peak-calling-category,26
/genomics2-category,/chip-seq-category,3093,/peak-annotation-category,27
/epigenomics-category,/chip-seq-category,3093,/peak-annotation-category,27
/genomics2-category,/chip-seq-category,3093,/genomic-region-enrichment-category,31
/epigenomics-category,/chip-seq-category,3093,/genomic-region-enrichment-category,31
/genomics2-category,/chip-seq-category,3093,/read-clustering-category,32
/epigenomics-category,/chip-seq-category,3093,/read-clustering-category,32
/genomics2-category,/chip-seq-category,3093,/time-course-category,33
/epigenomics-category,/chip-seq-category,3093,/time-course-category,33
/genomics2-category,/chip-seq-category,3093,/semantic-similarity-measurement-category,34
/epigenomics-category,/chip-seq-category,3093,/semantic-similarity-measurement-category,34
/genomics2-category,/chip-seq-category,3093,/alignment-evaluation-category,37
/epigenomics-category,/chip-seq-category,3093,/alignment-evaluation-category,37
/genomics2-category,/chip-seq-category,3093,/data-visualization4-category,37
/epigenomics-category,/chip-seq-category,3093,/data-visualization4-category,37
/genomics2-category,/chip-seq-category,3093,/fm-index-construction-category,37
/epigenomics-category,/chip-seq-category,3093,/fm-index-construction-category,37
/genomics2-category,/chip-seq-category,3093,/enhancer-prediction-category,38
/epigenomics-category,/chip-seq-category,3093,/enhancer-prediction-category,38
/genomics2-category,/chip-seq-category,3093,/motif-scanning-category,39
/epigenomics-category,/chip-seq-category,3093,/motif-scanning-category,39
/genomics2-category,/chip-seq-category,3093,/base-calling-category,40
/epigenomics-category,/chip-seq-category,3093,/base-calling-category,40
/genomics2-category,/chip-seq-category,3093,/duplicate-reads-removal-category,40
/epigenomics-category,/chip-seq-category,3093,/duplicate-reads-removal-category,40
/genomics2-category,/chip-seq-category,3093,/file-merging-category,40
/epigenomics-category,/chip-seq-category,3093,/file-merging-category,40
/genomics2-category,/chip-seq-category,3093,/software-pipelines2-category,40
/epigenomics-category,/chip-seq-category,3093,/software-pipelines2-category,40
/genomics2-category,/chip-seq-category,3093,/over-representation-analysis-category,51
/epigenomics-category,/chip-seq-category,3093,/over-representation-analysis-category,51
/genomics2-category,/chip-seq-category,3093,/file-parsing-category,55
/epigenomics-category,/chip-seq-category,3093,/file-parsing-category,55
/genomics2-category,/chip-seq-category,3093,/cis-regulatory-module-prediction-category,59
/epigenomics-category,/chip-seq-category,3093,/cis-regulatory-module-prediction-category,59
/genomics2-category,/chip-seq-category,3093,/file-filtering-category,65
/epigenomics-category,/chip-seq-category,3093,/file-filtering-category,65
/genomics2-category,/chip-seq-category,3093,/topology-based-pathway-analysis-category,72
/epigenomics-category,/chip-seq-category,3093,/topology-based-pathway-analysis-category,72
/genomics2-category,/chip-seq-category,3093,/motif-discovery-category,81
/epigenomics-category,/chip-seq-category,3093,/motif-discovery-category,81
/genomics2-category,/chip-seq-category,3093,/peak-calling-category,89
/epigenomics-category,/chip-seq-category,3093,/peak-calling-category,89
/genomics2-category,/chip-seq-category,3093,/data-compression-category,97
/epigenomics-category,/chip-seq-category,3093,/data-compression-category,97
/genomics2-category,/chip-seq-category,3093,/similarity-search-category,101
/epigenomics-category,/chip-seq-category,3093,/similarity-search-category,101
/genomics2-category,/chip-seq-category,3093,/gene-ontologies-category,104
/epigenomics-category,/chip-seq-category,3093,/gene-ontologies-category,104
/genomics2-category,/chip-seq-category,3093,/adapter-trimming-category,122
/epigenomics-category,/chip-seq-category,3093,/adapter-trimming-category,122
/genomics2-category,/chip-seq-category,3093,/error-correction-category,137
/epigenomics-category,/chip-seq-category,3093,/error-correction-category,137
/genomics2-category,/chip-seq-category,3093,/transcription-factor-binding-site-prediction-category,139
/epigenomics-category,/chip-seq-category,3093,/transcription-factor-binding-site-prediction-category,139
/genomics2-category,/chip-seq-category,3093,/quality-control6-category,143
/epigenomics-category,/chip-seq-category,3093,/quality-control6-category,143
/genomics2-category,/chip-seq-category,3093,/file-format-conversion-category,154
/epigenomics-category,/chip-seq-category,3093,/file-format-conversion-category,154
/genomics2-category,/chip-seq-category,3093,/read-alignment-category,311
/epigenomics-category,/chip-seq-category,3093,/read-alignment-category,311
/genomics2-category,/chip-seq-category,3093,/gene-regulatory-networks-category,360
/epigenomics-category,/chip-seq-category,3093,/gene-regulatory-networks-category,360
/genomics2-category,/circular-dichroism-spectroscopy-category,14,/circular-dichroism-spectroscopy-data-category,1
/proteomics-category,/circular-dichroism-spectroscopy-category,14,/circular-dichroism-spectroscopy-data-category,1
/genomics2-category,/circular-dichroism-spectroscopy-category,14,/circular-dichroism-spectroscopy-simulation-category,2
/proteomics-category,/circular-dichroism-spectroscopy-category,14,/circular-dichroism-spectroscopy-simulation-category,2
/genomics2-category,/circular-dichroism-spectroscopy-category,14,/circular-dichroism-spectroscopy-data-analysis-category,11
/proteomics-category,/circular-dichroism-spectroscopy-category,14,/circular-dichroism-spectroscopy-data-analysis-category,11
/phenomics-category,/clinical-electrophysiology-category,148,/unclassified-tools-42-category,0
/phenomics-category,/clinical-electrophysiology-category,148,/image-registration-4-category,3
/phenomics-category,/clinical-electrophysiology-category,148,/data-management-and-annotation-4-category,4
/phenomics-category,/clinical-electrophysiology-category,148,/image-format-management-4-category,4
/phenomics-category,/clinical-electrophysiology-category,148,/spike-sorting-category,7
/phenomics-category,/clinical-electrophysiology-category,148,/data-acquisition-category,12
/phenomics-category,/clinical-electrophysiology-category,148,/image-simulation-category,12
/phenomics-category,/clinical-electrophysiology-category,148,/image-enhancement-data-pre-processing-category,19
/phenomics-category,/clinical-electrophysiology-category,148,/image-visualization-3-category,29
/phenomics-category,/clinical-electrophysiology-category,148,/image-data-analysis-category,58
/phenomics-category,/computational-neuroscience-data-category,11, , 
/phenomics-category,/computational-neuroscience-modeling-category,115,/model-building-category,8
/phenomics-category,/computational-neuroscience-modeling-category,115,/model-files-visualization-category,12
/phenomics-category,/computational-neuroscience-modeling-category,115,/model-files-conversion-category,13
/phenomics-category,/computational-neuroscience-modeling-category,115,/compartment-neuron-modeling-category,22
/phenomics-category,/computational-neuroscience-modeling-category,115,/unclassified-tools-38-category,23
/phenomics-category,/computational-neuroscience-modeling-category,115,/realistic-neuronal-network-modelling-category,37
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/phantom-imaging-category,1
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/image-format-management-5-category,4
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/image-surfacing-1-category,5
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/3d-image-reconstruction-5-category,7
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/image-modelization-2-category,9
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/image-enhancement-10-category,11
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/3d-image-analysis-9-category,16
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/image-registration-2-category,19
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/morphometric-analysis-4-category,19
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/image-segmentation-4-category,32
/phenomics-category,/computerized-tomography-scan-imaging-category,158,/image-visualization-2-category,35
/phenomics-category,/connectivity-analysis-category,80,/unclassified-tools-37-category,4
/phenomics-category,/connectivity-analysis-category,80,/brain-connectomics-category,30
/phenomics-category,/connectivity-analysis-category,80,/functional-brain-connectivity-category,46
/phenomics-category,/connectivity-data-category,20,/brain-connectomics-data-category,20
/phenomics-category,/conventional-fluorescence-microscopy-category,515,/fish-category,1
/phenomics-category,/conventional-fluorescence-microscopy-category,515,/biological-network-reconstruction-4-category,3
