,Title,Keywords,Actual category,Predicted_Categories
11,"['A statistical approach for identifying differential distributions in single-cell RNA-seq experiments.', '27782827']","['cost', 'features', 'genotyping', 'select', 'selection', 'server', 'snp', 'snps', 'useful']",whole-genome-resequencing,"['acgh-and-snp-microarray', 'chip-seq', 'genome-annotation2', 'information-extraction', 'phylogenetics-and-phylogenomics', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
12,"['miR-PREFeR: an accurate, fast and easy-to-use plant miRNA prediction tool using small RNA-Seq data.', '24930140']","['maize', 'polymorphic', 'retrotransposons', 'te', 'tes']",whole-genome-resequencing,"['acgh-and-snp-microarray', 'chip-seq', 'rna-seq', 'rna-transcription-databases', 'whole-exome-sequencing', 'whole-genome-resequencing']"
13,"['De novo motif identification improves the accuracy of predicting transcription factor binding sites in ChIP-Seq data analysis.', '20375099']","['crick', 'homologous', 'mutations', 'pairings', 'rna', 'secondary', 'sequences', 'stems', 'structure', 'unsolved', 'watson']",rna-structure-analysis,"['genome-annotation2', 'immunology', 'rna-seq', 'rna-structure-analysis', 'whole-genome-resequencing']"
14,"[""Grouping of large populations into few CTL immune 'response-types' from influenza H1N1 genome analysis."", '25505972']","['capable', 'conserved', 'considering', 'discovered', 'evolutionarily', 'field', 'growing', 'importance', 'increases', 'methods', 'molecule', 'ncrna', 'necessary', 'prediction', 'rna', 'rnas', 'sequence', 'simultaneously', 'structure']",rna-structure-analysis,"['genome-annotation2', 'rna-seq', 'rna-structure-analysis', 'single-cell-rna-seq']"
15,"['primers4clades: a web server that uses phylogenetic trees to design lineage-specific PCR primers for metagenomic and diversity studies.', '19465390']","['biomedical', 'classes', 'entities', 'mentions', 'million', 'pubmed', 'search', 'text', 'texts']",information-extraction,"['dna-sequence-databases', 'information-extraction']"
16,"['ORAC: a molecular dynamics simulation program to explore free energy surfaces in biomolecular systems at the atomistic level.', '19824035']","['association', 'brings', 'detection', 'enable', 'epigenetic', 'influences', 'interplay', 'interrogate', 'methylation', 'trajectory', 'variation']",chip-seq,"['acgh-and-snp-microarray', 'chip-seq', 'rna-seq', 'whole-exome-sequencing']"
17,"['Prediction of RNA-binding residues in proteins from primary sequence using an enriched random forest model with a novel hybrid feature.', '21268114']","['alternative', 'attained', 'bayesian', 'critically', 'customize', 'depends', 'designing', 'focus', 'goals', 'guidelines', 'inadequate', 'renders', 'splicing', 'technology', 'underlying']",genome-annotation2,"['chip-seq', 'gene-expression-microarray', 'genome-annotation2', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'single-cell-rna-seq']"
18,"['PeptiCKDdb-peptide- and protein-centric database for the investigation of genesis and progression of chronic kidney disease.', '27589965']","['correlations', 'dna', 'methylation']",rna-seq,"['acgh-and-snp-microarray', 'chip-seq', 'rna-seq']"
19,"['MScanner: a classifier for retrieving Medline citations.', '18284683']","['cell', 'cells', 'marker', 'population', 'rare', 'stem', 'types']",single-cell-rna-seq,"['immunology', 'laser-scanning-microscopy', 'single-cell-rna-seq']"
20,"['SPARSE: quadratic time simultaneous alignment and folding of RNAs without sequence-based heuristics.', '25838465']","['3d', 'graph', 'rna', 'search', 'structure', 'structures', 'substructures']",rna-structure-analysis,"['genome-annotation2', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis']"
21,"['A fast fixed-point algorithm for independent component analysis of complex valued signals.', '10798706']","['boltzmann', 'computes', 'different', 'distance', 'having', 'possibly', 'probabilities', 'time']",whole-genome-resequencing,"['genome-annotation2', 'information-extraction', 'mathematical-modeling', 'metagenomics', 'phylogenetics-and-phylogenomics', 'rna-seq', 'rna-structure-analysis', 'single-cell-rna-seq', 'whole-genome-resequencing']"
22,"['ARED Organism: expansion of ARED reveals AU-rich element cluster variations between human and mouse.', '17984078']","['adenosine', 'editing', 'important', 'predictor', 'rna']",single-cell-rna-seq,"['dna-sequence-databases', 'genome-annotation2', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'single-cell-rna-seq']"
23,"['Integrating prior knowledge in multiple testing under dependence with applications to detecting differential DNA methylation.', '22260651']","['essentially', 'fish', 'genomic', 'kb', 'locus', 'oligonucleotide', 'primer', 'probes', 'regions', 'small']",laser-scanning-microscopy,"['acgh-and-snp-microarray', 'chip-seq', 'whole-exome-sequencing']"
24,"['A maximum-likelihood approach to single-particle image refinement.', '9774537']","['classification', 'complexes', 'dna', 'domain', 'domains', 'families', 'family', 'interaction', 'modes', 'protein']",protein-interaction-analysis,"['genome-annotation2', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
25,"['WEP: a high-performance analysis pipeline for whole-exome data.', '23815231']","['acids', 'aqueous', 'conformations', 'interacting', 'like', 'linear', 'native', 'peptide', 'peptides', 'solution', 'targets']",peptide-databases,"['immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-transcription-databases']"
26,"['MeFiT: merging and filtering tool for illumina paired-end reads for 16S rRNA amplicon sequencing.', '27905885']","['combining', 'core', 'covariance', 'descriptor', 'industrial', 'matching', 'models', 'needed', 'pattern', 'posed', 'predicts', 'rnase', 'solutions', 'speed', 'subfamily', 'tackle']",rna-structure-analysis,"['chip-seq', 'gene-expression-microarray', 'genome-annotation2', 'metagenomics', 'rna-seq', 'rna-structure-analysis', 'single-cell-rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
27,"['Mature Epitope Density--a strategy for target selection based on immunoinformatics and exported prokaryotic proteins.', '24564223']","['amp', 'amps', 'answer', 'anti', 'belong', 'peptides', 'pseaac']",peptide-databases,['peptide-databases']
28,"['BactPepDB: a database of predicted peptides from a exhaustive survey of complete prokaryote genomes.', '25377257']","['16s', 'amplicons', 'assignment', 'beta', 'classify', 'extracting', 'health', 'hundreds', 'measuring', 'metagenomic', 'metrics', 'operational', 'rely', 'rrna', 'taxonomic', 'tens', 'thousands', 'units']",mathematical-modeling,['mathematical-modeling']
29,"['Dr.seq2: A quality control and analysis pipeline for parallel single cell transcriptome and epigenome data.', '28671995']","['data', 'dividing', 'format', 'high', 'image', 'imaging', 'interoperability', 'limitation', 'live', 'microscopy', 'object', 'relations', 'stores', 'throughput', 'versatility']",laser-scanning-microscopy,"['acgh-and-snp-microarray', 'chip-seq', 'gene-expression-microarray', 'laser-scanning-microscopy', 'rna-transcription-databases']"
30,"['MalaCards: an amalgamated human disease compendium with diverse clinical and genetic annotation and structured search.', '27899610']","['balance', 'collect', 'degradation', 'elimination', 'endogenous', 'exogenous', 'maintenance', 'materials', 'medicines', 'oxygen', 'proteins', 'reactive', 'stimulation', 'substances', 'toxins']",protein-structure-analysis,"['dna-sequence-databases', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
31,"['Cildb: a knowledgebase for centrosomes and cilia.', '20428338']","['convergent', 'elements', 'genes', 'polyadenylation']",rna-transcription-databases,"['chip-seq', 'genome-annotation2', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
32,"['Binding site discovery from nucleic acid sequences by discriminative learning of hidden Markov models.', '25389269']","['ad', 'binding', 'contributor', 'cooperative', 'dimers', 'discovered', 'hoc', 'incomplete', 'likely', 'recognized', 'tf']",chip-seq,"['chip-seq', 'immunology', 'protein-interaction-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
33,"['LEAP: constructing gene co-expression networks for single-cell RNA-sequencing data using pseudotime ordering.', '27993778']","['alterations', 'carcinoma', 'cytogenetic', 'genetic', 'model', 'renal', 'tree', 'tumour', 'tumours']",phylogenetics-and-phylogenomics,"['acgh-and-snp-microarray', 'laser-scanning-microscopy', 'phylogenetics-and-phylogenomics', 'single-cell-rna-seq', 'whole-exome-sequencing']"
34,"['AVPdb: a database of experimentally validated antiviral peptides targeting medically important viruses.', '24285301']","['biomedicine', 'consisting', 'database', 'growing', 'health', 'largely', 'medline', 'million', 'paradigm', 'primary', 'publication', 'questions', 'rapidly', 'records', 'remained']",information-extraction,"['dna-sequence-databases', 'information-extraction', 'peptide-databases', 'protein-structure-analysis', 'rna-transcription-databases']"
35,"['The RCSB Protein Data Bank: redesigned web site and web services.', '21036868']","['attempts', 'challenged', 'crystal', 'failure', 'game', 'models', 'molecular', 'players', 'protease', 'refined', 'remarkably', 'replacement', 'retroviral', 'solve', 'structure', 'sufficient']",gene-expression-microarray,"['dna-sequence-databases', 'gene-expression-microarray', 'genome-annotation2', 'peptide-databases', 'phylogenetics-and-phylogenomics', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-structure-analysis']"
36,"['NONCODE: an integrated knowledge database of non-coding RNAs.', '15608158']","['activity', 'computationally', 'design', 'enzyme', 'game', 'helix', 'insertion', 'residue', 'turn']",gene-expression-microarray,"['dna-sequence-databases', 'gene-expression-microarray', 'genome-annotation2', 'metagenomics', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-structure-analysis']"
37,"['Channelpedia: an integrative and interactive database for ion channels.', '22232598']","['binding', 'dna', 'domains', 'protein']",protein-interaction-analysis,"['chip-seq', 'genome-annotation2', 'immunology', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'whole-genome-resequencing']"
38,"['HIV-1, human interaction database: current status and new features.', '25378338']","['coli', 'extracts', 'features', 'mass', 'metabolites', 'metabolome', 'metabolomic', 'number', 'platform', 'published', 'untargeted', 'xcms']",metagenomics,['metagenomics']
39,"['PDBest: a user-friendly platform for manipulating and enhancing protein structures.', '25910698']","['genetic', 'qtl', 'repository', 'soybean', 'trait', 'traits']",genome-annotation2,"['dna-sequence-databases', 'genome-annotation2', 'information-extraction', 'laser-scanning-microscopy', 'peptide-databases', 'rna-transcription-databases', 'whole-exome-sequencing', 'whole-genome-resequencing']"
40,"['Current Comparative Table (CCT) automates customized searches of dynamic biological databases.', '15980582']","['direct', 'dna', 'energies', 'energy', 'indirect', 'protein', 'specificity', 'webserver']",protein-interaction-analysis,"['chip-seq', 'genome-annotation2', 'immunology', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'whole-genome-resequencing']"
41,"['SVM-Prot: Web-based support vector machine software for functional classification of a protein from its primary sequence.', '12824396']","['affymetrix', 'corrected', 'designated', 'groupings', 'inaccurate', 'mappings', 'mrna', 'originally', 'probe', 'set']",acgh-and-snp-microarray,"['acgh-and-snp-microarray', 'genome-annotation2', 'rna-seq', 'single-cell-rna-seq', 'whole-genome-resequencing']"
42,"['TMARKER: A free software toolkit for histopathological cell counting and staining estimation.', '23766938']","['ability', 'cd4', 'class', 'epitope', 'epitopes', 'ii', 'immune', 'mhc', 'peptide', 'protective', 'repertoires', 'vaccination']",immunology,"['immunology', 'rna-transcription-databases']"
43,"['CORGEN: a FORTRAN-77 generator of standard and non-standard DNA helices from the sequence.', '2531017']","['coarse', 'energy', 'grained', 'simulations', 'solvent', 'useful']",protein-structure-analysis,"['genome-annotation2', 'immunology', 'peptide-databases', 'phylogenetics-and-phylogenomics', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis']"
44,"['FogBank: a single cell segmentation across multiple cell lines and image modalities.', '25547324']","['community', 'material', 'ngs', 'readers']",gene-expression-microarray,"['gene-expression-microarray', 'information-extraction', 'mathematical-modeling', 'rna-seq', 'rna-transcription-databases', 'whole-exome-sequencing', 'whole-genome-resequencing']"
45,"['BioGranat-IG: a network analysis tool to suggest mechanisms of genetic heterogeneity from exome-sequencing data.', '23361329']","['bayes', 'cnv', 'copy', 'framework', 'hmm', 'novel', 'objective', 'snp']",acgh-and-snp-microarray,"['acgh-and-snp-microarray', 'whole-exome-sequencing']"
46,"['Pair hidden Markov models on tree structures.', '12855464']","['ancestor', 'assigned', 'implicitly', 'leaf', 'lowest', 'match', 'reads', 'rooted', 'species', 'taxonomy']",mathematical-modeling,"['chip-seq', 'genome-annotation2', 'mathematical-modeling', 'phylogenetics-and-phylogenomics', 'whole-exome-sequencing', 'whole-genome-resequencing']"
47,"['PyNAST: a flexible tool for aligning sequences to a template alignment.', '19914921']","['cancer', 'desired', 'explosive', 'fortunately', 'lin', 'predictor', 'treating', 'treatment', 'uestc']",peptide-databases,"['acgh-and-snp-microarray', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases']"
48,"['DisArticle: a web server for SVM-based discrimination of articles on traditional medicine.', '28129750']","['450k', 'beadchip', 'cpg', 'cpgs', 'replicate', 'replicates', 'technical', 'variability']",chip-seq,"['acgh-and-snp-microarray', 'chip-seq', 'gene-expression-microarray', 'mathematical-modeling', 'rna-seq', 'single-cell-rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
49,"['iDPF-PseRAAAC: A Web-Server for Identifying the Defensin Peptide Family and Subfamily Using Pseudo Reduced Amino Acid Alphabet Composition.', '26713618']","['abstracts', 'corpora', 'dbsnp', 'encompasses', 'evaluation', 'isolated', 'mentions', 'spread', 'thorough', 'variations']",dna-sequence-databases,"['acgh-and-snp-microarray', 'dna-sequence-databases', 'information-extraction', 'laser-scanning-microscopy', 'whole-exome-sequencing']"
50,"['Gene Designer: a synthetic biology tool for constructing artificial DNA segments.', '16756672']","['cytometry', 'earlier', 'file', 'flow', 'standard', 'versions']",gene-expression-microarray,"['gene-expression-microarray', 'information-extraction', 'laser-scanning-microscopy', 'metagenomics', 'phylogenetics-and-phylogenomics', 'whole-exome-sequencing']"
51,"['Web servers and services for electrostatics calculations with APBS and PDB2PQR.', '21425296']","['baseline', 'core', 'cores', 'enhancement', 'faster', 'fold', 'influencing', 'ms', 'multi', 'pc', 'performance', 'picking', 'processor', 'threaded', 'version']",metagenomics,"['chip-seq', 'gene-expression-microarray', 'laser-scanning-microscopy', 'metagenomics', 'phylogenetics-and-phylogenomics', 'protein-structure-analysis', 'whole-genome-resequencing']"
52,"['PhytAMP: a database dedicated to antimicrobial plant peptides.', '18836196']","['bulk', 'cell', 'cells', 'data', 'noise', 'pipelines', 'scrna', 'seq', 'stem', 'technical']",single-cell-rna-seq,"['chip-seq', 'single-cell-rna-seq']"
53,"['DendroBLAST: approximate phylogenetic trees in the absence of multiple sequence alignments.', '23554899']","['kinetic', 'literature', 'metabolic', 'parameters', 'pathway', 'scale', 'searching', 'tackling', 'unsuitable']",information-extraction,"['dna-sequence-databases', 'gene-expression-microarray', 'information-extraction', 'metagenomics', 'protein-interaction-analysis', 'rna-structure-analysis']"
54,"['Using the Tools and Resources of the RCSB Protein Data Bank.', '27603019']","['amplicon', 'daunting', 'driving', 'ecological', 'enhancing', 'environments', 'evolved', 'massive', 'metagenome', 'metagenomics', 'micro', 'primer', 'scalable', 'sequencing', 'wider']",mathematical-modeling,"['chip-seq', 'mathematical-modeling', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
55,"['oPOSSUM: identification of over-represented transcription factor binding sites in co-expressed genes.', '15933209']","['chip', 'fastq', 'git', 'github', 'input', 'nowadays', 'performs', 'seq', 'streamlined', 'trimming', 'workflow']",protein-interaction-analysis,"['chip-seq', 'protein-interaction-analysis', 'rna-seq', 'whole-exome-sequencing']"
56,"['TIMMA-R: an R package for predicting synergistic multi-targeted drug combinations in cancer cell lines or patient-derived samples.', '25638808']","['engineering', 'metabolic', 'organism', 'transformations']",metagenomics,"['dna-sequence-databases', 'metagenomics', 'protein-interaction-analysis', 'protein-structure-analysis']"
57,"['Fast search of thousands of short-read sequencing experiments.', '26854477']","['accompanied', 'acquiring', 'affordable', 'bottleneck', 'capacity', 'drop', 'equal', 'informatics', 'infrastructure', 'institutes', 'instruments', 'laboratories', 'minimal', 'poses', 'sequencer', 'sequencing', 'smaller', 'storage', 'unless']",gene-expression-microarray,"['chip-seq', 'gene-expression-microarray', 'mathematical-modeling', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
58,"['CytoSVM: an advanced server for identification of cytokine-receptor interactions.', '17526528']","['effector', 'host', 'infection', 'microrna', 'pathogen', 'pathogens', 'ppi', 'study']",protein-interaction-analysis,"['dna-sequence-databases', 'genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
59,"['Doelan: a solution for quality control monitoring of microarray production.', '16179358']","['acts', 'browser', 'das', 'database', 'ensembl', 'genes', 'germ', 'imgt', 'immunoglobulin', 'references', 'sequence']",rna-transcription-databases,"['dna-sequence-databases', 'genome-annotation2', 'information-extraction', 'peptide-databases', 'rna-transcription-databases', 'whole-genome-resequencing']"
60,"['High-Accuracy HLA Type Inference from Whole-Genome Sequencing Data Using Population Reference Graphs.', '27792722']","['analysis', 'handle', 'pair', 'platform', 'read', 'sequencing', 'structural', 'variation', 'visualization']",acgh-and-snp-microarray,"['chip-seq', 'gene-expression-microarray', 'genome-annotation2', 'mathematical-modeling', 'rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
61,"['Seqinspector: position-based navigation through the ChIP-seq data landscape to identify gene expression regulators.', '26868127']","['biomarkers', 'cells', 'image', 'methods', 'mining', 'negative', 'plays', 'positive', 'previous', 'role', 'stem', 'storage', 'text']",information-extraction,"['chip-seq', 'dna-sequence-databases', 'information-extraction', 'laser-scanning-microscopy', 'protein-interaction-analysis', 'rna-seq', 'single-cell-rna-seq']"
62,"['CytoCluster: A Cytoscape Plugin for Cluster Analysis and Visualization of Biological Networks.', '28858211']","['algorithm', 'covariance', 'feature', 'physical', 'proposed', 'rna', 'site']",single-cell-rna-seq,"['chip-seq', 'genome-annotation2', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'single-cell-rna-seq', 'whole-genome-resequencing']"
63,"['Therapeutic target database update 2012: a resource for facilitating target-oriented drug discovery.', '21948793']","['auxiliary', 'comparable', 'data', 'experimental', 'extends', 'incorporating', 'prediction', 'probabilistic', 'probing', 'producing', 'secondary', 'structure', 'threaded']",rna-structure-analysis,"['genome-annotation2', 'immunology', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'single-cell-rna-seq', 'whole-genome-resequencing']"
64,"['HLaffy: estimating peptide affinities for Class-1 HLA molecules by learning position-specific pair potentials.', '27153594']","['ig', 'imgt', 'quest', 'tr']",immunology,"['chip-seq', 'immunology', 'rna-transcription-databases', 'whole-exome-sequencing']"
65,"['iAnn: an event sharing platform for the life sciences.', '23742982']","['barrel', 'facing', 'helical', 'hydrophobic', 'implicit', 'membrane', 'optimal', 'proteins']",protein-structure-analysis,"['genome-annotation2', 'immunology', 'peptide-databases', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
66,"['A public HTLV-1 molecular epidemiology database for sequence management and data mining.', '22970114']","['citations', 'expert', 'knowing', 'language', 'medline', 'natural', 'plain', 'pubmed', 'question', 'search', 'specialized', 'tool', 'translate', 'vocabularies']",information-extraction,"['dna-sequence-databases', 'information-extraction']"
67,"['Summary: the modified nucleosides of RNA.', '7518580']","['amber', 'bioinformatics', 'calculations', 'hmmer', 'macromolecular', 'manipulation', 'modeller', 'object', 'oriented', 'parallelization', 'programs', 'simplifies', 'structural', 'time', 'trajectories']",gene-expression-microarray,"['gene-expression-microarray', 'genome-annotation2', 'laser-scanning-microscopy', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-structure-analysis', 'rna-transcription-databases']"
68,"['IMNGS: A comprehensive open resource of processed 16S rRNA microbial profiles for ecology and diversity studies.', '27659943']","['16s', 'communities', 'diversity', 'errors', 'functional', 'microbial', 'pipeline', 'pyrosequencing', 'ranging', 'rdna']",mathematical-modeling,['mathematical-modeling']
69,"['Prediction of RNA-binding proteins from primary sequence by a support vector machine approach.', '14970381']","['benefit', 'binding', 'bioengineering', 'deciphering', 'determines', 'place', 'pockets', 'protein', 'recognition', 'revealing', 'rna', 'strongly', 'structural', 'surfaces']",rna-seq,"['genome-annotation2', 'protein-interaction-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases', 'single-cell-rna-seq']"
70,"['Better duplicate detection for systematic reviewers: evaluation of Systematic Review Assistant-Deduplication Module.', '25588387']","['amplifications', 'cn', 'cnvs', 'copy', 'pooling', 'snp', 'unrelated']",acgh-and-snp-microarray,"['acgh-and-snp-microarray', 'whole-exome-sequencing']"
71,"['Automated Wormscan.', '28413617']","['aberrations', 'captured', 'cna', 'constitutes', 'copy', 'exons', 'panels', 'target', 'targeted', 'uneven', 'uniformly']",whole-exome-sequencing,"['acgh-and-snp-microarray', 'chip-seq', 'rna-seq', 'whole-exome-sequencing']"
72,"['Optimizing ChIP-seq peak detectors using visual labels and supervised machine learning.', '27797775']","['arm', 'mirna', 'mirnas', 'quantification', 'standalone', 'switching', 'variations']",rna-seq,"['chip-seq', 'dna-sequence-databases', 'genome-annotation2', 'rna-seq', 'whole-genome-resequencing']"
73,"['Drosophila polymorphism database (DPDB): a portal for nucleotide polymorphism in Drosophila.', '18820438']","['antiviral', 'encoded', 'host', 'mirna', 'mirnas', 'therapeutics', 'viral', 'virus']",dna-sequence-databases,"['dna-sequence-databases', 'peptide-databases', 'rna-seq', 'rna-transcription-databases', 'whole-genome-resequencing']"
74,"['dbOTU3: A new implementation of distribution-based OTU calling.', '28472072']","['dp', 'dr', 'hla', 'mhc', 'molecule', 'molecules', 'pan', 'peptide']",immunology,"['immunology', 'rna-transcription-databases']"
75,"['A computational procedure to identify significant overlap of differentially expressed and genomic imbalanced regions in cancer datasets.', '19542187']","['activity', 'case', 'child', 'children', 'day', 'incomplete', 'minute', 'profiles', 'study', 'wavelet']",rna-seq,"['chip-seq', 'laser-scanning-microscopy', 'mathematical-modeling', 'metagenomics', 'peptide-databases', 'phylogenetics-and-phylogenomics', 'rna-seq', 'single-cell-rna-seq', 'whole-exome-sequencing', 'whole-genome-resequencing']"
76,"['DMINDA: an integrated web server for DNA motif identification and analyses.', '24753419']","['biochemical', 'composed', 'enzyme', 'evaluation', 'life', 'metabolic', 'metabolism', 'nature', 'novo', 'pathways', 'possible', 'reaction', 'reactions', 'respect', 'rules', 'synthesis', 'thermodynamic']",metagenomics,"['dna-sequence-databases', 'metagenomics', 'protein-interaction-analysis', 'protein-structure-analysis']"
77,"['High-resolution experimental and computational profiling of tissue-specific known and novel miRNAs in Arabidopsis.', '21940835']","['cell', 'cytometry', 'embedding', 'exploration', 'explored', 'hierarchical', 'hierarchy', 'neighborhood', 'phase', 'requirements', 'single', 'stochastic', 'workflow']",single-cell-rna-seq,"['acgh-and-snp-microarray', 'chip-seq', 'gene-expression-microarray', 'laser-scanning-microscopy', 'metagenomics', 'single-cell-rna-seq', 'whole-genome-resequencing']"
78,"['switchde: inference of switch-like differential expression along single-cell trajectories.', '28011787']","['conservation', 'elements', 'modules', 'regulatory', 'res', 'synonymous', 'tfbs', 'vertebrate']",single-cell-rna-seq,"['chip-seq', 'dna-sequence-databases', 'genome-annotation2', 'phylogenetics-and-phylogenomics', 'protein-interaction-analysis', 'rna-seq', 'rna-transcription-databases', 'single-cell-rna-seq', 'whole-genome-resequencing']"
79,"['TreeGraph 2: combining and visualizing evidence from different phylogenetic analyses.', '20051126']","['acids', 'adopting', 'conformational', 'extremely', 'flexibility', 'landscape', 'modulate', 'molecules', 'ncrna', 'probing', 'ribonucleic', 'translated']",rna-structure-analysis,"['dna-sequence-databases', 'genome-annotation2', 'immunology', 'protein-interaction-analysis', 'protein-structure-analysis', 'rna-seq', 'rna-structure-analysis', 'rna-transcription-databases']"
80,"['Galaxy LIMS for next-generation sequencing.', '23479349']","['display', 'domain', 'export', 'formats', 'graphics', 'interactive', 'interactively', 'life', 'manipulation', 'mapped', 'phylogenetic', 'repertoires', 'rooted', 'sizes', 'supported', 'tree', 'trees', 'vector']",phylogenetics-and-phylogenomics,"['phylogenetics-and-phylogenomics', 'whole-genome-resequencing']"
